Time (s)	Velocity (mph)
1244	55.4884303
1245	55.1156077
1246	54.7427851
1247	54.3078254
1248	53.8728657
1249	53.437906
1250	53.0029463
1251	52.6301237
1252	52.2573011
1253	51.8844785
1254	51.5116559
1255	51.1388333
1256	50.7660107
1257	50.3931881
1258	50.0203655
1259	49.6475429
1260	49.3368574
1261	49.088309
1262	48.9018977
1263	48.9018977
1264	48.9640348
1265	49.1504461
1266	49.3368574
1267	49.4611316
1268	49.5854058
1269	49.5854058
1270	49.4611316
1271	49.2747203
1272	49.0261719
1273	48.7776235
1274	48.5912122
1275	48.4048009
1276	48.2805267
1277	48.2805267
1278	48.3426638
1279	48.4048009
1280	48.5290751
1281	48.6533493
1282	48.6533493
1283	48.7154864
1284	48.7154864
1285	48.7154864
1286	48.5912122
1287	48.466938
1288	48.2805267
1289	48.0319783
1290	47.7834299
1291	47.5970186
1292	47.3484702
1293	47.0377847
1294	46.7270992
1295	46.4164137
1296	46.2300024
1297	46.1678653
1298	46.2300024
1299	46.3542766
1300	46.5406879
1301	46.6649621
1302	46.7892363
1303	46.9135105
1304	47.0999218
1305	47.1620589
1306	47.224196
1307	47.224196
1308	47.224196
1309	47.1620589
1310	47.1620589
1311	47.0999218
1312	47.0377847
1313	46.9135105
1314	46.7270992
1315	46.602825
1316	46.4164137
1317	46.0435911
1318	45.7950427
1319	45.5464943
1320	45.6707685
1321	45.981454
1322	46.5406879
1323	47.2863331
1324	48.2805267
1325	49.2125832
1326	49.8960913
1327	50.2067768
1328	50.331051
1329	50.331051
1330	50.331051
1331	50.331051
1332	50.331051
1333	50.2689139
1334	50.0825026
1335	49.8960913
1336	49.70968
1337	49.6475429
1338	49.5854058
1339	49.5854058
1340	49.5854058
1341	49.6475429
1342	49.70968
1343	49.9582284
1344	50.2067768
1345	50.4553252
1346	50.6417365
1347	50.7038736
1348	50.7038736
1349	50.5795994
1350	50.1446397
1351	49.4611316
1352	48.5912122
1353	47.7212928
1354	46.7892363
1355	45.8571798
1356	44.8008491
1357	43.6202442
1358	42.3775022
1359	41.0726231
1360	39.6434698
1361	38.2764536
1362	37.4065342
1363	37.1579858
1364	37.5308084
1365	38.4007278
1366	38.8978246
1367	38.9599617
1368	38.4628649
1369	37.28226
1370	36.2880664
1371	35.9152438
1372	35.9152438
1373	35.9152438
1374	35.6045583
1375	34.9210502
1376	33.7404453
1377	31.5656468
1378	28.2723805
1379	24.9791142
1380	21.6858479
1381	18.3925816
1382	16.9634283
1383	18.2061703
1384	20.4431059
1385	22.1208076
1386	22.8043157
1387	23.3635496
1388	24.4820174
1389	26.4082675
1390	28.8937515
1391	31.1928242
1392	32.8083888
1393	33.7404453
1394	34.1132679
1395	34.1132679
1396	33.9889937
1397	33.6161711
1398	33.0569372
1399	32.3734291
1400	31.5035097
1401	30.5093161
1402	29.4529854
1403	28.0859692
1404	25.9733078
1405	22.6800415
1406	19.3867752
1407	17.1498396
1408	16.7148799
1409	16.9634283
1410	17.0877025
1411	17.0255654
1412	16.8391541
1413	16.5906057
1414	16.6527428
1415	17.5226622
1416	19.3246381
1417	21.6237108
1418	23.8606464
1419	25.4140739
1420	25.9111707
1421	25.4140739
1422	23.7985093
1423	21.9343963
1424	21.3130253
1425	21.4994366
1426	22.5557673
1427	24.5441545
1428	25.9733078
1429	26.4082675
1430	26.0354449
1431	24.9169771
1432	22.7421786
1433	19.4489123
1434	16.155646
1435	12.8002426
1436	11.8681861
1437	12.2410087
1438	13.1109281
1439	13.670162
1440	13.7322991
1441	13.2973394
1442	12.1788716
1443	11.3710893
1444	11.184678
1445	11.3710893
1446	11.4953635
1447	11.1225409
1448	9.320565
1449	6.1515729
1450	2.8583066
1451	0.7456452
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	0
1479	1.3670162
1480	2.7340324
1481	3.9146373
1482	4.9088309
1483	5.7166132
1484	6.4622584
1485	7.1457665
1486	8.0156859
1487	9.1341537
1488	10.563307
1489	12.3031458
1490	14.3536701
1491	16.5906057
1492	18.9518155
1493	21.1887511
1494	23.3014125
1495	25.2276626
1496	26.9053643
1497	28.3966547
1498	29.6393967
1499	30.6335903
1500	31.3792355
1501	31.8763323
1502	32.3734291
1503	32.7462517
1504	33.1812114
1505	33.554034
1506	33.8647195
1507	34.175405
1508	34.5482276
1509	34.9831873
1510	35.5424212
1511	36.3502035
1512	37.4065342
1513	38.7114133
1514	40.2027037
1515	41.6939941
1516	42.9988732
1517	43.9309297
1518	44.6765749
1519	45.1736717
1520	45.6086314
1521	45.8571798
1522	46.0435911
1523	45.981454
1524	45.7329056
1525	45.0493975
1526	43.9930668
1527	42.6260506
1528	41.1347602
1529	39.767744
1530	38.6492762
1531	37.8414939
1532	37.4065342
1533	37.28226
1534	37.5308084
1535	38.1521794
1536	39.2706472
1537	40.7619376
1538	42.5017764
1539	44.4901636
1540	46.5406879
1541	48.7154864
1542	50.8281478
1543	52.7543979
1544	54.3078254
1545	55.302019
1546	55.92339
1547	56.2962126
1548	56.544761
1549	56.8554465
1550	57.166132
1551	57.6010917
1552	58.0360514
1553	58.5331482
1554	58.9681079
1555	59.4652047
1556	60.0244386
1557	60.7079467
1558	61.4535919
1559	62.3856484
1560	63.379842
1561	64.3740356
1562	65.3682292
1563	66.3624228
1564	67.4187535
1565	68.4750842
1566	69.5314149
1567	70.6498827
1568	71.6440763
1569	72.5761328
1570	73.4460522
1571	74.2538345
